Level,Name,School,Casting Time,Range,Area,Components,Materials,Duration,Concentration,Ritual,Attack/Save,Damage/Effect,Source,Description,URL_absolute,Primary Effect Category,Arcane Status,Divine Status,Nature Status,Elemental Status,Psionics Status
2nd,Spiritual Weapon,Evocation,1 Bonus Action,60 ft.,,"V, S",,1 Minute,,,Melee,Force,,"You create a floating, spectral force that resembles a weapon of your choice and lasts for the duration. The force appears within range in a space of your choice, and you can immediately make one melee spell attack against one creature within 5 feet of the force. On a hit, the target takes Force damage equal to 1d8 plus your spellcasting ability modifier.

As a Bonus Action on your later turns, you can move the force up to 20 feet and repeat the attack against a creature within 5 feet of it.

Using a Higher-Level Spell Slot. The damage increases by 1d8 for every slot level above 2.",https://www.dndbeyond.com/spells/2619081-spiritual-weapon,Force Manipulation,Primary,Hard Ban,Hard Ban,Secondary,Primary
2nd,Warding Wind,Evocation,1 Action,,(10 ft. ),V,,10 Minutes,,,,Deafened,,"A strong wind (20 miles per hour) blows around you in a 10-foot radius and moves with you, remaining centered on you. The wind lasts for the spell’s duration.

The wind has the following effects:

It deafens you and other creatures in its area.

It extinguishes unprotected flames in its area that are torch-sized or smaller.

It hedges out vapor, gas, and fog that can be dispersed by strong wind.

The area is difficult terrain for creatures other than you.

The attack rolls of ranged weapon attacks have disadvantage if the attacks pass in or out of the wind.",https://www.dndbeyond.com/spells/2407-warding-wind,Terrain Manipulation,Hard Ban,Hard Ban,Primary,Primary,Hard Ban
2nd,Web,Conjuration,1 Action,60 ft.,(20 ft. ),"V, S, M",,1 Hour,,,DEX Save,Restrained,,"You conjure a mass of sticky webbing at a point within range. The webs fill a 20-foot Cube there for the duration. The webs are Difficult Terrain , and the area within them is Lightly Obscured .

If the webs aren’t anchored between two solid masses (such as walls or trees) or layered across a floor, wall, or ceiling, the web collapses on itself, and the spell ends at the start of your next turn. Webs layered over a flat surface have a depth of 5 feet.

The first time a creature enters the webs on a turn or starts its turn there, it must succeed on a Dexterity saving throw or have the Restrained condition while in the webs or until it breaks free.

A creature Restrained by the webs can take an action to make a Strength ( Athletics ) check against your spell save DC. If it succeeds, it is no longer Restrained.

The webs are flammable. Any 5-foot Cube of webs exposed to fire burns away in 1 round, dealing 2d4 Fire damage to any creature that starts its turn in the fire.",https://www.dndbeyond.com/spells/2619208-web,Terrain Manipulation,Hard Ban,Hard Ban,Primary,Primary,Hard Ban
3rd,Ashardalon's Stride,Transmutation,1 Bonus Action,,,"V, S",,1 Minute,,,,Fire,,,https://www.dndbeyond.com/spells/1183862-ashardalons-stride,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
3rd,Aura of Vitality,Abjuration,1 Action,,(30 ft. ),V,,1 Minute,,,,Healing,,"An aura radiates from you in a 30-foot Emanation for the duration. When you create the aura and at the start of each of your turns while it persists, you can restore 2d6 Hit Points to one creature in it.",https://www.dndbeyond.com/spells/2618891-aura-of-vitality,Healing & Restoration,Hard Ban,Primary,Hard Ban,Primary,Hard Ban
3rd,Blinding Smite,Evocation,1 Bonus Action *,,,V,,1 Minute,,,CON Save,Radiant,,"The target hit by the strike takes an extra 3d8 Radiant damage from the attack, and the target has the Blinded condition until the spell ends. At the end of each of its turns, the Blinded target makes a Constitution saving throw, ending the spell on itself on a success.

Using a Higher-Level Spell Slot. The extra damage increases by 1d8 for each spell slot level above 3.",https://www.dndbeyond.com/spells/2618936-blinding-smite,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
3rd,Call Lightning,Conjuration,1 Action,120 ft.,(60 ft. *),"V, S",,10 Minutes,,,DEX Save,Lightning (...),,"A storm cloud appears at a point within range that you can see above yourself. It takes the shape of a Cylinder that is 10 feet tall with a 60-foot radius.

When you cast the spell, choose a point you can see under the cloud. A lightning bolt shoots from the cloud to that point. Each creature within 5 feet of that point makes a Dexterity saving throw, taking 3d10 Lightning damage on a failed save or half as much damage on a successful one.

Until the spell ends, you can take a Magic action to call down lightning in that way again, targeting the same point or a different one.

If you’re outdoors in a storm when you cast this spell, the spell gives you control over that storm instead of creating a new one. Under such conditions, the spell’s damage increases by 1d10.

Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 3.",https://www.dndbeyond.com/spells/2618949-call-lightning,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
3rd,Conjure Barrage,Conjuration,1 Action,,(60 ft. ),"V, S, M",,Instantaneous,,,DEX Save,Force,,"You brandish the weapon used to cast the spell and conjure similar spectral weapons (or ammunition appropriate to the weapon) that launch forward and then disappear. Each creature of your choice that you can see in a 60-foot Cone makes a Dexterity saving throw, taking 5d8 Force damage on a failed save or half as much damage on a successful one.

Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 3.",https://www.dndbeyond.com/spells/2619045-conjure-barrage,Force Manipulation,Primary,Hard Ban,Hard Ban,Secondary,Primary
3rd,Elemental Weapon,Transmutation,1 Action,,,"V, S",,1 Hour,,,,Acid (...),,"A nonmagical weapon you touch becomes a magic weapon. Choose one of the following damage types: Acid, Cold, Fire, Lightning, or Thunder. For the duration, the weapon has a +1 bonus to attack rolls and deals an extra 1d4 damage of the chosen type when it hits.

Using a Higher-Level Spell Slot. If you use a level 5–6 spell slot, the bonus to attack rolls increases to +2, and the extra damage increases to 2d4. If you use a level 7+ spell slot, the bonus increases to +3, and the extra damage increases to 3d4.",https://www.dndbeyond.com/spells/2619164-elemental-weapon,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
3rd,Erupting Earth,Transmutation,1 Action,120 ft.,(20 ft. ),"V, S, M",,Instantaneous,,,DEX Save,Bludgeoning,,"Choose a point you can see on the ground within range. A fountain of churned earth and stone erupts in a 20-foot cube centered on that point. Each creature in that area must make a Dexterity saving throw. A creature takes 3d12 bludgeoning damage on a failed save, or half as much damage on a successful one. Additionally, the ground in that area becomes difficult terrain until cleared. Each 5-foot-square portion of the area requires at least 1 minute to clear by hand.

At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the damage increases by 1d12 for each slot level above 3rd.",https://www.dndbeyond.com/spells/2380-erupting-earth,Terrain Manipulation,Hard Ban,Hard Ban,Primary,Primary,Hard Ban
3rd,Fireball,Evocation,1 Action,150 ft.,(20 ft. ),"V, S, M",,Instantaneous,,,DEX Save,Fire,,"A bright streak flashes from you to a point you choose within range and then blossoms with a low roar into a fiery explosion. Each creature in a 20-foot-radius Sphere centered on that point makes a Dexterity saving throw, taking 8d6 Fire damage on a failed save or half as much damage on a successful one.

Flammable objects in the area that aren’t being worn or carried start burning .

Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 3.",https://www.dndbeyond.com/spells/2618887-fireball,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
3rd,Flame Arrows,Transmutation,1 Action,,,"V, S",,1 Hour,,,,Fire,,"You touch a quiver containing arrows or bolts. When a target is hit by a ranged weapon attack using a piece of ammunition drawn from the quiver, the target takes an extra 1d6 fire damage. The spell’s magic ends on the piece of ammunition when it hits or misses, and the spell ends when twelve pieces of ammunition have been drawn from the quiver.

At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the number of pieces of ammunition you can affect with this spell increases by two for each slot level above 3rd.",https://www.dndbeyond.com/spells/2381-flame-arrows,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
3rd,Hunger of Hadar,Conjuration,1 Action,150 ft.,(20 ft. *),"V, S, M",,1 Minute,,,DEX Save,Cold (...),,"You open a gateway to the Far Realm, a region infested with unspeakable horrors. A 20-foot-radius Sphere of Darkness appears, centered on a point with range and lasting for the duration. The Sphere is Difficult Terrain , and it is filled with strange whispers and slurping noises, which can be heard up to 30 feet away. No light, magical or otherwise, can illuminate the area, and creatures fully within it have the Blinded condition.

Any creature that starts its turn in the area takes 2d6 Cold damage. Any creature that ends its turn there must succeed on a Dexterity saving throw or take 2d6 Acid damage from otherworldly tentacles.

Using a Higher-Level Spell Slot. The Cold or Acid damage (your choice) increases by 1d6 for each spell slot level above 3.",https://www.dndbeyond.com/spells/2619162-hunger-of-hadar,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
3rd,Life Transference,Necromancy,1 Action,30 ft.,,"V, S",,Instantaneous,,,,Necrotic,,"You sacrifice some of your health to mend another creature’s injuries. You take 4d8 necrotic damage, which can’t be reduced in any way, and one creature of your choice that you can see within range regains a number of hit points equal to twice the necrotic damage you take.

At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the damage increases by 1d8 for each slot level above 3rd.",https://www.dndbeyond.com/spells/14880-life-transference,Healing & Restoration,Hard Ban,Primary,Hard Ban,Primary,Hard Ban
3rd,Lightning Arrow,Transmutation,1 Bonus Action *,,,"V, S",,Instantaneous,,,DEX Save,Lightning (...),,"As your attack hits or misses the target, the weapon or ammunition you’re using transforms into a lightning bolt. Instead of taking any damage or other effects from the attack, the target takes 4d8 Lightning damage on a hit or half as much damage on a miss. Each creature within 10 feet of the target then makes a Dexterity saving throw, taking 2d8 Lightning damage on a failed save or half as much damage on a successful one.

The weapon or ammunition then returns to its normal form.

Using a Higher-Level Spell Slot. The damage for both effects of the spell increases by 1d8 for each spell slot level above 3.",https://www.dndbeyond.com/spells/2618997-lightning-arrow,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
3rd,Lightning Bolt,Evocation,1 Action,,(100 ft. ),"V, S, M",,Instantaneous,,,DEX Save,Lightning,,"A stroke of lightning forming a 100-foot-long, 5-foot-wide Line blasts out from you in a direction you choose. Each creature in the Line makes a Dexterity saving throw, taking 8d6 Lightning damage on a failed save or half as much damage on a successful one.

Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 3.",https://www.dndbeyond.com/spells/2618999-lightning-bolt,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
3rd,Mass Healing Word,Abjuration,1 Bonus Action,60 ft.,,V,,Instantaneous,,,,Healing,,"Up to six creatures of your choice that you can see within range regain Hit Points equal to 2d4 plus your spellcasting ability modifier.

Using a Higher-Level Spell Slot. The healing increases by 1d4 for each spell slot level above 3.",https://www.dndbeyond.com/spells/2619028-mass-healing-word,Healing & Restoration,Hard Ban,Primary,Hard Ban,Primary,Hard Ban
3rd,Melf's Minute Meteors,Evocation,1 Action,,,"V, S, M",,10 Minutes,,,DEX Save,Fire,,"You create six tiny meteors in your space. They float in the air and orbit you for the spell’s duration. When you cast the spell — and as a bonus action on each of your turns thereafter — you can expend one or two of the meteors, sending them streaking toward a point or points you choose within 120 feet of you. Once a meteor reaches its destination or impacts against a solid surface, the meteor explodes. Each creature within 5 feet of the point where the meteor explodes must make a Dexterity saving throw. A creature takes 2d6 fire damage on a failed save, or half as much damage on a successful one.

At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the number of meteors created increases by two for each slot level above 3rd.",https://www.dndbeyond.com/spells/2393-melfs-minute-meteors,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
3rd,Remove Curse,Abjuration,1 Action,,,"V, S",,Instantaneous,,,,Buff,,"At your touch, all curses affecting one creature or object end. If the object is a cursed magic item, its curse remains, but the spell breaks its owner’s Attunement to the object so it can be removed or discarded.",https://www.dndbeyond.com/spells/2618943-remove-curse,Healing & Restoration,Hard Ban,Primary,Hard Ban,Primary,Hard Ban
3rd,Sleet Storm,Conjuration,1 Action,150 ft.,(40 ft. *),"V, S, M",,1 Minute,,,DEX Save,Prone,,"Until the spell ends, sleet falls in a 40-foot-tall, 20-foot-radius Cylinder centered on a point you choose within range. The area is Heavily Obscured , and exposed flames in the area are doused.

Ground in the Cylinder is Difficult Terrain . When a creature enters the Cylinder for the first time on a turn or starts its turn there, it must succeed on a Dexterity saving throw or have the Prone condition and lose Concentration .",https://www.dndbeyond.com/spells/2618998-sleet-storm,Weather & Climate Control,Hard Ban,Hard Ban,Primary,Primary,Hard Ban
3rd,Tidal Wave,Conjuration,1 Action,120 ft.,,"V, S, M",,Instantaneous,,,DEX Save,Bludgeoning,,"You conjure up a wave of water that crashes down on an area within range. The area can be up to 30 feet long, up to 10 feet wide, and up to 10 feet tall. Each creature in that area must make a Dexterity saving throw. On a failed save, a creature takes 4d8 bludgeoning damage and is knocked prone . On a successful save, a creature takes half as much damage and isn’t knocked prone . The water then spreads out across the ground in all directions, extinguishing unprotected flames in its area and within 30 feet of it, and then it vanishes.",https://www.dndbeyond.com/spells/2402-tidal-wave,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
3rd,Vampiric Touch,Necromancy,1 Action,,,"V, S",,1 Minute,,,Melee,Necrotic,,"The touch of your shadow-wreathed hand can siphon life force from others to heal your wounds. Make a melee spell attack against one creature within reach. On a hit, the target takes 3d6 Necrotic damage, and you regain Hit Points equal to half the amount of Necrotic damage dealt.

Until the spell ends, you can make the attack again on each of your turns as a Magic action, targeting the same creature or a different one.

Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 3.",https://www.dndbeyond.com/spells/2619214-vampiric-touch,Healing & Restoration,Hard Ban,Primary,Hard Ban,Primary,Hard Ban
3rd,Wall of Sand,Evocation,1 Action,90 ft.,,"V, S, M",,10 Minutes,,,,Blinded,,"You conjure up a wall of swirling sand on the ground at a point you can see within range. You can make the wall up to 30 feet long, 10 feet high, and 10 feet thick, and it vanishes when the spell ends. It blocks line of sight but not movement. A creature is blinded while in the wall’s space and must spend 3 feet of movement for every 1 foot it moves there.",https://www.dndbeyond.com/spells/2405-wall-of-sand,Terrain Manipulation,Hard Ban,Hard Ban,Primary,Primary,Hard Ban
3rd,Wall of Water,Evocation,1 Action,60 ft.,,"V, S, M",,10 Minutes,,,,Control (...),,"You create a wall of water on the ground at a point you can see within range. You can make the wall up to 30 feet long, 10 feet high, and 1 foot thick, or you can make a ringed wall up to 20 feet in diameter, 20 feet high, and 1 foot thick. The wall vanishes when the spell ends. The wall’s space is difficult terrain.

Any ranged weapon attack that enters the wall’s space has disadvantage on the attack roll, and fire damage is halved if the fire effect passes through the wall to reach its target. Spells that deal cold damage that pass through the wall cause the area of the wall they pass through to freeze solid (at least a 5-foot-square section is frozen). Each 5-foot-square frozen section has AC 5 and 15 hit points. Reducing a frozen section to 0 hit points destroys it. When a section is destroyed, the wall’s water doesn’t fill it.",https://www.dndbeyond.com/spells/2406-wall-of-water,Terrain Manipulation,Hard Ban,Hard Ban,Primary,Primary,Hard Ban
3rd,Wind Wall,Evocation,1 Action,120 ft.,,"V, S, M",,1 Minute,,,STR Save,Bludgeoning,,"A wall of strong wind rises from the ground at a point you choose within range. You can make the wall up to 50 feet long, 15 feet high, and 1 foot thick. You can shape the wall in any way you choose so long as it makes one continuous path along the ground. The wall lasts for the duration.

When the wall appears, each creature in its area makes a Strength saving throw, taking 4d8 Bludgeoning damage on a failed save or half as much damage on a successful one.

The strong wind keeps fog, smoke, and other gases at bay. Small or smaller flying creatures or objects can’t pass through the wall. Loose, lightweight materials brought into the wall fly upward. Arrows, bolts, and other ordinary projectiles launched at targets behind the wall are deflected upward and miss automatically. Boulders hurled by Giants or siege engines, and similar projectiles, are unaffected. Creatures in gaseous form can’t pass through it.",https://www.dndbeyond.com/spells/2619212-wind-wall,Terrain Manipulation,Hard Ban,Hard Ban,Primary,Primary,Hard Ban
4th,Aura of Life,Abjuration,1 Action,,(30 ft. ),V,,10 Minutes,,,,Healing (...),,"An aura radiates from you in a 30-foot Emanation for the duration. While in the aura, you and your allies have Resistance to Necrotic damage, and your Hit Point maximums can’t be reduced. If an ally with 0 Hit Points starts its turn in the aura, that ally regains 1 Hit Point.",https://www.dndbeyond.com/spells/2618884-aura-of-life,Healing & Restoration,Hard Ban,Primary,Hard Ban,Primary,Hard Ban
4th,Blight,Necromancy,1 Action,30 ft.,,"V, S",,Instantaneous,,,CON Save,Necrotic,,"A creature that you can see within range makes a Constitution saving throw, taking 8d8 Necrotic damage on a failed save or half as much damage on a successful one. A Plant creature automatically fails the save.

Alternatively, target a nonmagical plant that isn’t a creature, such as a tree or shrub. It doesn’t make a save; it simply withers and dies.

Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 4.",https://www.dndbeyond.com/spells/2618934-blight,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
4th,Conjure Minor Elementals,Conjuration,1 Action,,(15 ft. ),"V, S",,10 Minutes,,,,Acid (...),,"You conjure spirits from the Elemental Planes that flit around you in a 15-foot Emanation for the duration. Until the spell ends, any attack you make deals an extra 2d8 damage when you hit a creature in the Emanation. This damage is Acid, Cold, Fire, or Lightning (your choice when you make the attack).

In addition, the ground in the Emanation is Difficult Terrain for your enemies.

Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 4.",https://www.dndbeyond.com/spells/2619049-conjure-minor-elementals,Summoning — Elemental,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
4th,Control Water,Transmutation,1 Action,300 ft.,,"V, S, M",,10 Minutes,,,STR Save,Bludgeoning,,"Until the spell ends, you control any water inside an area you choose that is a Cube up to 100 feet on a side, using one of the following effects. As a Magic action on your later turns, you can repeat the same effect or choose a different one.

Flood. You cause the water level of all standing water in the area to rise by as much as 20 feet. If you choose an area in a large body of water, you instead create a 20-foot tall wave that travels from one side of the area to the other and then crashes. Any Huge or smaller vehicles in the wave’s path are carried with it to the other side. Any Huge or smaller vehicles struck by the wave have a 25 percent chance of capsizing.

The water level remains elevated until the spell ends or you choose a different effect. If this effect produced a wave, the wave repeats on the start of your next turn while the flood effect lasts.

Part Water. You part water in the area and create a trench. The trench extends across the spell’s area, and the separated water forms a wall to either side. The trench remains until the spell ends or you choose a different effect. The water then slowly fills in the trench over the course of the next round until the normal water level is restored.

Redirect Flow. You cause flowing water in the area to move in a direction you choose, even if the water has to flow over obstacles, up walls, or in other unlikely directions. The water in the area moves as you direct it, but once it moves beyond the spell’s area, it resumes its flow based on the terrain. The water continues to move in the direction you chose until the spell ends or you choose a different effect.

Whirlpool. You cause a whirlpool to form in the center of the area, which must be at least 50 feet square and 25 feet deep. The whirlpool lasts until you choose a different effect or the spell ends. The whirlpool is 5 feet wide at the base, up to 50 feet wide at the top, and 25 feet tall. Any creature in the water and within 25 feet of the whirlpool is pulled 10 feet toward it. When a creature enters the whirlpool for the first time on a turn or ends its turn there, it makes a Strength saving throw. On a failed save, the creature takes 2d8 Bludgeoning damage. On a successful save, the creature takes half as much damage. A creature can swim away from the whirlpool only if it first takes an action to pull away and succeeds on a Strength ( Athletics ) check against your spell save DC.",https://www.dndbeyond.com/spells/2619070-control-water,Weather & Climate Control,Hard Ban,Hard Ban,Primary,Primary,Hard Ban
4th,Guardian of Nature,Transmutation,1 Bonus Action,,,V,,1 Minute,,,,Buff (...),,"A nature spirit answers your call and transforms you into a powerful guardian. The transformation lasts until the spell ends. You choose one of the following forms to assume: Primal Beast or Great Tree.

Primal Beast. Bestial fur covers your body, your facial features become feral, and you gain the following benefits:

Your walking speed increases by 10 feet.

You gain darkvision with a range of 120 feet.

You make Strength-based attack rolls with advantage.

Your melee weapon attacks deal an extra 1d6 force damage on a hit.

Great Tree. Your skin appears barky, leaves sprout from your hair, and you gain the following benefits:

You gain 10 temporary hit points .

You make Constitution saving throws with advantage.

You make Dexterity- and Wisdom-based attack rolls with advantage.

While you are on the ground, the ground within 15 feet of you is difficult terrain for your enemies.",https://www.dndbeyond.com/spells/14872-guardian-of-nature,Terrain Manipulation,Hard Ban,Hard Ban,Primary,Primary,Hard Ban
4th,Ice Storm,Evocation,1 Action,300 ft.,(20 ft. *),"V, S, M",,Instantaneous,,,DEX Save,Bludgeoning (...),,"Hail falls in a 20-foot-radius, 40-foot-high Cylinder centered on a point within range. Each creature in the Cylinder makes a Dexterity saving throw. A creature takes 2d10 Bludgeoning damage and 4d6 Cold damage on a failed save or half as much damage on a successful one.

Hailstones turn ground in the Cylinder into Difficult Terrain until the end of your next turn.

Using a Higher-Level Spell Slot. The Bludgeoning damage increases by 1d10 for each spell slot level above 4.",https://www.dndbeyond.com/spells/2619178-ice-storm,Terrain Manipulation,Hard Ban,Hard Ban,Primary,Primary,Hard Ban
4th,Sickening Radiance,Evocation,1 Action,120 ft.,(30 ft. ),"V, S",,10 Minutes,,,CON Save,Radiant,,"Dim, greenish light spreads within a 30-foot-radius sphere centered on a point you choose within range. The light spreads around corners, and it lasts until the spell ends.

When a creature moves into the spell's area for the first time on a turn or starts its turn there, that creature must succeed on a Constitution saving throw or take 4d10 radiant damage, suffer one level of exhaustion , and emit a dim, greenish light in a 5-foot radius. This light makes it impossible for the creature to benefit from being invisible . The light and any levels of exhaustion caused by this spell go away when the spell ends.",https://www.dndbeyond.com/spells/14597-sickening-radiance,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
4th,Stone Shape,Transmutation,1 Action,,,"V, S, M",,Instantaneous,,,,Control,,"You touch a stone object of Medium size or smaller or a section of stone no more than 5 feet in any dimension and form it into any shape you like. For example, you could shape a large rock into a weapon, statue, or coffer, or you could make a small passage through a wall that is 5 feet thick. You could also shape a stone door or its frame to seal the door shut. The object you create can have up to two hinges and a latch, but finer mechanical detail isn’t possible.",https://www.dndbeyond.com/spells/2619092-stone-shape,Object & Structure Manipulation,Hard Ban,Hard Ban,Hard Ban,Secondary,Hard Ban
4th,Storm Sphere,Evocation,1 Action,150 ft.,(20 ft. ),"V, S",,1 Minute,,,STR Save,Bludgeoning (...),,"A 20-foot-radius sphere of whirling air springs into existence centered on a point you choose within range. The sphere remains for the spell’s duration. Each creature in the sphere when it appears or that ends its turn there must succeed on a Strength saving throw or take 2d6 bludgeoning damage. The sphere’s space is difficult terrain.

Until the spell ends, you can use a bonus action on each of your turns to cause a bolt of lightning to leap from the center of the sphere toward one creature you choose within 60 feet of the center. Make a ranged spell attack. You have advantage on the attack roll if the target is in the sphere. On a hit, the target takes 4d6 lightning damage.

Creatures within 30 feet of the sphere have disadvantage on Wisdom ( Perception ) checks made to listen.

At Higher Levels. When you cast this spell using a spell slot of 5th level or higher, the damage increases for each of its effects by 1d6 for each slot level above 4th.",https://www.dndbeyond.com/spells/2400-storm-sphere,Weather & Climate Control,Hard Ban,Hard Ban,Primary,Primary,Hard Ban
4th,Summon Elemental,Conjuration,1 Action,90 ft.,,"V, S, M",,1 Hour,,,,Summoning,,"You call forth an Elemental spirit. It manifests in an unoccupied space that you can see within range and uses the Elemental Spirit stat block. When you cast the spell, choose an element: Air, Earth, Fire, or Water. The creature resembles a bipedal form wreathed in the chosen element, which determines certain details in its stat block. The creature disappears when it drops to 0 Hit Points or when the spell ends.

The creature is an ally to you and your allies. In combat, the creature shares your Initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don’t issue any, it takes the Dodge action and uses its movement to avoid danger.

Using a Higher-Level Spell Slot. Use the spell slot’s level for the spell’s level in the stat block.

Medium Elemental, Neutral

AC 11 + the spell’s level

HP 50 + 10 for each spell level above 4

Speed 40 ft.; Burrow 40 ft. (Earth only); Fly 40 ft. (hover; Air only); Swim 40 ft. (Water only)

Resistances Acid (Water only), Lightning and Thunder (Air only), Piercing and Slashing (Earth only)

Immunities Fire (Fire only), Poison; Exhaustion , Paralyzed , Petrified , Poisoned

Senses Darkvision 60 ft.; Passive Perception 10

Languages Primordial, understands the languages you know

CR None (XP 0; PB equals your Proficiency Bonus)

Traits

Amorphous Form (Air, Fire, and Water Only). The spirit can move through a space as narrow as 1 inch wide without it counting as Difficult Terrain .

Actions

Multiattack. The spirit makes a number of Slam attacks equal to half this spell’s level (round down).

Slam. Melee Attack Roll: Bonus equals your spell attack modifier, reach 5 ft. Hit: 1d10 + 4 + the spell’s level Bludgeoning (Earth only), Cold (Water only), Lightning (Air only), or Fire (Fire only) damage.",https://www.dndbeyond.com/spells/2619113-summon-elemental,Summoning — Elemental,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
4th,Vitriolic Sphere,Evocation,1 Action,150 ft.,(20 ft. ),"V, S, M",,Instantaneous,,,DEX Save,Acid (...),,"You point at a location within range, and a glowing, 1-foot-diameter ball of acid streaks there and explodes in a 20-foot-radius Sphere . Each creature in that area makes a Dexterity saving throw. On a failed save, a creature takes 10d4 Acid damage and another 5d4 Acid damage at the end of its next turn. On a successful save, a creature takes half the initial damage only.

Using a Higher-Level Spell Slot. The initial damage increases by 2d4 for each spell slot level above 4.",https://www.dndbeyond.com/spells/2619219-vitriolic-sphere,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
4th,Wall of Fire,Evocation,1 Action,120 ft.,,"V, S, M",,1 Minute,,,DEX Save,Fire,,"You create a wall of fire on a solid surface within range. You can make the wall up to 60 feet long, 20 feet high, and 1 foot thick, or a ringed wall up to 20 feet in diameter, 20 feet high, and 1 foot thick. The wall is opaque and lasts for the duration.

When the wall appears, each creature in its area makes a Dexterity saving throw, taking 5d8 Fire damage on a failed save or half as much damage on a successful one.

One side of the wall, selected by you when you cast this spell, deals 5d8 Fire damage to each creature that ends its turn within 10 feet of that side or inside the wall. A creature takes the same damage when it enters the wall for the first time on a turn or ends its turn there. The other side of the wall deals no damage.

Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 4.",https://www.dndbeyond.com/spells/2619107-wall-of-fire,Elemental Blasts,Hard Ban,Hard Ban,Hard Ban,Exclusive,Hard Ban
5th,Bigby's Hand,Evocation,1 Action,120 ft.,,"V, S, M",,1 Minute,,,,Force (...),,"You create a Large hand of shimmering magical energy in an unoccupied space that you can see within range. The hand lasts for the duration, and it moves at your command, mimicking the movements of your own hand.

The hand is an object that has AC 20 and Hit Points equal to your Hit Point maximum. If it drops to 0 Hit Points, the spell ends. The hand doesn’t occupy its space.

When you cast the spell and as a Bonus Action on your later turns, you can move the hand up to 60 feet and then cause one of the following effects:

Clenched Fist. The hand strikes a target within 5 feet of it. Make a melee spell attack. On a hit, the target takes 5d8 Force damage.

Forceful Hand. The hand attempts to push a Huge or smaller creature within 5 feet of it. The target must succeed on a Strength saving throw, or the hand pushes the target up to 5 feet plus a number of feet equal to five times your spellcasting ability modifier. The hand moves with the target, remaining within 5 feet of it.

Grasping Hand. The hand attempts to grapple a Huge or smaller creature within 5 feet of it. The target must succeed on a Dexterity saving throw, or the target has the Grappled condition, with an escape DC equal to your spell save DC. While the hand grapples the target, you can take a Bonus Action to cause the hand to crush it, dealing Bludgeoning damage to the target equal to 4d6 plus your spellcasting ability modifier.

Interposing Hand. The hand grants you Half Cover against attacks and other effects that originate from its space or that pass through it. In addition, its space counts as Difficult Terrain for your enemies.

Using a Higher-Level Spell Slot. The damage of the Clenched Fist increases by 2d8 and the damage of the Grasping Hand increases by 2d6 for each spell slot level above 5.",https://www.dndbeyond.com/spells/2618928-bigbys-hand,Force Manipulation,Primary,Hard Ban,Hard Ban,Secondary,Primary
